startingAirport,destinationAirport,medianTravelDistance,medianTravelDuration
OAK,ATL,2412,
OAK,BOS,3039,
OAK,CLT,2675,
OAK,DEN,1186,
OAK,DFW,1954,
OAK,DTW,2328,
OAK,EWR,2814,
OAK,IAD,2790,
OAK,JFK,2796,
OAK,LAX,1432,
OAK,LGA,3005,
OAK,MIA,3275,
OAK,ORD,2083,
OAK,PHL,2850,
OAK,SFO,677,
ORD,ATL,820,
ORD,BOS,862,
ORD,CLT,921,
ORD,DEN,1034,
ORD,DFW,886,
ORD,DTW,240,
ORD,EWR,720,
ORD,IAD,919,
ORD,JFK,815,
ORD,LAX,1841,
ORD,LGA,720,
ORD,MIA,1517,
ORD,OAK,2083,
ORD,PHL,672,
ORD,SFO,1927,
PHL,ATL,677,
PHL,BOS,280,
PHL,CLT,895,
PHL,DEN,1671,
PHL,DFW,1392,
PHL,DTW,902,
PHL,EWR,994,
PHL,IAD,838,
PHL,JFK,465,
PHL,LAX,2481,
PHL,LGA,1216,
PHL,MIA,1201,
PHL,OAK,2755,
PHL,ORD,674,
PHL,SFO,2724,
SFO,ATL,2332,
SFO,BOS,2751,
SFO,CLT,2536,
SFO,DEN,1033,
SFO,DFW,1591,
SFO,DTW,2411,
SFO,EWR,2595,
SFO,IAD,2634,
SFO,JFK,2566,
SFO,LAX,339,
SFO,LGA,2848,
SFO,MIA,2878,
SFO,OAK,677,
SFO,ORD,1933,
SFO,PHL,2724,
ATL,BOS,947,
ATL,CLT,228,
ATL,DEN,1375,
ATL,DFW,725,
ATL,DTW,932,
ATL,EWR,762,
ATL,IAD,541,
ATL,JFK,762,
ATL,LAX,2034,
ATL,LGA,762,
ATL,MIA,596,
ATL,OAK,2393,
ATL,ORD,820,
ATL,PHL,677,
ATL,SFO,2308,
BOS,ATL,947,
BOS,CLT,730,
BOS,DEN,1806,
BOS,DFW,1565,
BOS,DTW,670,
BOS,EWR,185,
BOS,IAD,406,
BOS,JFK,185,
BOS,LAX,2643,
BOS,LGA,185,
BOS,MIA,1289,
BOS,OAK,2981,
BOS,ORD,862,
BOS,PHL,280,
BOS,SFO,2751,
CLT,ATL,868,
CLT,BOS,730,
CLT,DEN,1580,
CLT,DFW,960,
CLT,DTW,832,
CLT,EWR,545,
CLT,IAD,327,
CLT,JFK,552,
CLT,LAX,2275,
CLT,LGA,548,
CLT,MIA,824,
CLT,OAK,2637,
CLT,ORD,921,
CLT,PHL,895,
CLT,SFO,2536,
DEN,ATL,1375,
DEN,BOS,1806,
DEN,CLT,1580,
DEN,DFW,650,
